time,ax,ay,az,aT
3.3860,-0.0634,-0.1673,-0.6160,0.641
3.4540,0.1515,-0.2204,-0.0690,0.276
3.4540,0.3408,-0.2083,0.3360,0.522
3.4550,0.3717,-0.2317,0.2545,0.507
3.4550,0.2355,-0.2012,-0.3138,0.441
3.4550,0.0973,-0.1276,-0.7868,0.803
3.4560,-0.0463,-0.0853,-0.9831,0.988
3.4590,-0.1661,-0.0318,-0.6846,0.705
3.4660,-0.0754,-0.0104,-0.2501,0.261
3.4840,-0.0026,-0.0071,-0.0995,0.100
3.4910,0.0453,-0.0214,-0.0303,0.059
3.4990,0.0485,-0.0488,0.0258,0.073
3.5060,0.1434,-0.0749,0.1574,0.226
3.5180,0.2142,-0.0418,0.2811,0.356
3.5250,0.1655,-0.0270,0.4462,0.477
3.5360,0.0654,-0.0535,0.6026,0.609
3.5460,-0.0413,-0.0890,0.5403,0.549
3.5560,-0.1012,-0.0979,0.3302,0.359
3.5670,-0.1235,-0.0812,0.1070,0.182
3.5810,-0.1963,-0.0362,0.0164,0.200
3.5910,-0.3452,0.0237,0.1317,0.370
3.5990,-0.2576,0.1373,0.4003,0.495
3.6060,-0.0187,0.2447,0.4947,0.552
3.6230,0.0160,0.1919,0.4528,0.492
3.6330,-0.0798,0.1023,0.3476,0.371
3.6370,-0.1380,0.0958,0.2654,0.314
3.6480,-0.1740,0.1433,0.2466,0.334
3.6570,-0.0854,0.1913,0.2937,0.361
3.6680,0.0911,0.2755,0.3573,0.460
3.6800,0.1331,0.1925,0.2870,0.370
3.6880,0.0071,0.0176,0.1500,0.151
3.7010,-0.0645,-0.0601,-0.0393,0.097
3.7080,-0.0837,-0.1020,-0.1877,0.229
3.7210,-0.0911,-0.0853,-0.1353,0.184
3.7310,-0.0672,-0.0488,-0.1242,0.149
3.7390,-0.0260,0.0210,-0.0602,0.069
3.7510,-0.0441,0.0271,0.0488,0.071
3.7590,0.0094,0.0161,0.1816,0.183
3.7780,0.0384,-0.0308,0.1861,0.192
3.7830,0.0316,-0.0344,0.1871,0.193
3.7870,-0.0554,-0.0581,0.0854,0.117
