time,ax,ay,az,aT
7.0440,0.3938,-1.7969,-3.1966,3.688
7.0490,0.5547,-2.0904,-3.9343,4.490
7.0710,0.1453,-2.2458,-4.4806,5.014
7.0760,-1.1683,-2.5228,-4.6154,5.388
7.0800,-3.2784,-3.3503,-4.5254,6.515
7.0890,-5.2511,-4.9231,-3.8836,8.179
7.1000,-7.1589,-7.2252,-2.1489,10.396
7.1090,-8.5892,-8.6099,-0.5050,12.172
7.1240,-9.4964,-8.5932,-1.3136,12.874
7.1290,-8.7494,-7.0686,-4.5475,12.132
7.1430,-6.1568,-4.6009,-7.8661,10.998
7.1480,-4.8066,-3.2667,-8.4725,10.274
7.1570,-3.7972,-2.7754,-7.6620,8.990
7.1690,-2.7202,-3.3497,-6.7270,7.992
7.1770,-1.3751,-5.0555,-5.5059,7.600
7.1890,-0.4043,-6.7354,-3.4616,7.584
7.1980,0.4020,-8.2746,-1.2286,8.375
7.2090,1.2254,-9.0210,0.5103,9.118
7.2290,2.4932,-8.8381,2.7171,9.577
7.2360,3.8367,-7.7270,5.2414,10.095
7.2390,4.9726,-5.9237,8.5990,11.565
7.2680,5.1715,-4.4870,11.0275,12.980
7.2730,4.5801,-3.1641,12.8893,14.040
7.2760,3.7006,-2.1061,13.1372,13.810
7.2800,2.6845,-0.6917,8.6128,9.048
7.2900,1.8144,0.1180,-0.1766,1.827
7.2980,1.8088,0.1982,-8.2973,8.494
7.3100,2.5308,-0.3018,-9.3623,9.703
7.3250,2.9576,-0.8563,-6.1824,6.907
7.3290,2.9882,-0.9005,-5.9075,6.681
7.3520,2.3806,-1.3075,1.5950,3.150
7.3550,1.6114,-0.4624,5.0306,5.303
7.3580,1.1429,0.7086,6.9013,7.031
7.3710,0.3479,1.9236,6.7964,7.072
7.3780,-0.0970,2.7404,6.1604,6.743
7.3910,-0.0860,3.4614,5.7366,6.701
7.3980,0.3573,3.9527,6.0896,7.269
7.4090,1.0296,4.2666,6.9118,8.188
7.4240,1.4796,4.2005,7.3994,8.636
7.4290,1.8389,3.9763,7.5920,8.765
7.4460,2.1036,3.9250,7.4903,8.714
7.4510,2.2221,4.0577,7.4903,8.804
7.4590,2.0076,4.2611,7.8944,9.193
7.4740,1.1183,4.6267,8.7736,9.982
7.4780,0.3500,4.8905,9.3820,10.586
7.4910,-0.3490,5.1830,9.3815,10.724
7.4980,-0.4838,5.5012,8.6547,10.267
7.5090,-0.2505,6.0825,6.6091,8.986
7.5270,0.7085,7.1497,4.2147,8.330
7.5300,1.5292,8.5341,1.7575,8.846
7.5500,1.1443,9.5579,-0.1067,9.627
7.5510,-0.5167,9.6187,-1.8936,9.817
7.5580,-2.5697,7.7352,-4.0894,9.119
7.5710,-4.5156,4.5398,-6.5491,9.159
7.5770,-6.1413,0.9037,-8.6321,10.632
7.5900,-6.5000,-2.4782,-8.4458,10.942
7.5980,-5.8958,-5.8449,-5.4745,9.945
7.6120,-4.9727,-7.9063,-6.7370,11.516
7.6220,-5.0244,-7.8484,-6.8355,11.557
7.6430,-3.2762,-11.0134,-17.2831,20.754
7.6470,3.7524,-13.7040,-4.0700,14.780
7.6510,10.6955,-14.5477,13.5276,22.562
7.6790,13.5270,-16.9774,7.9870,23.130
7.6830,9.2956,-15.6106,2.0229,18.281
7.6880,5.2627,-9.3331,11.8136,15.949
7.6920,3.2825,-4.1841,13.1359,14.172
7.7080,3.2455,0.4887,10.3157,10.825
7.7090,4.9041,4.1766,5.4457,8.435
