time,ax,ay,az,aT
3.0120,0.0224,-0.0163,0.0399,0.049
3.0220,-0.0369,-0.0657,0.0757,0.107
3.0330,-0.0979,-0.0896,0.0327,0.137
3.0430,-0.1347,-0.0656,-0.0711,0.166
3.0510,-0.1225,0.0048,-0.2046,0.239
3.0600,-0.0888,0.0369,-0.3355,0.349
3.0720,-0.0122,0.0667,-0.3539,0.360
3.0810,0.0501,0.0439,-0.2900,0.298
3.0920,0.0587,-0.0042,-0.1860,0.195
3.1000,0.0805,-0.0115,-0.0585,0.100
3.1110,0.0751,0.0119,0.0387,0.085
3.1200,0.0280,0.0280,0.0793,0.089
3.1320,0.0138,0.0470,0.1414,0.150
3.1420,0.0723,0.0468,0.0288,0.091
3.1510,0.0466,0.0365,0.0156,0.061
3.1610,0.0890,0.0516,-0.0044,0.103
3.1720,0.0930,0.0442,-0.0351,0.109
3.1800,0.0581,0.0580,-0.0259,0.086
3.1930,0.0409,0.0737,-0.0550,0.101
3.2020,0.0057,0.0656,-0.0482,0.082
3.2120,0.0515,0.0595,-0.0367,0.087
3.2220,0.0594,0.0352,0.0344,0.077
3.2320,0.0693,0.0093,0.1412,0.158
3.2420,0.0394,-0.0222,0.1139,0.123
3.2580,-0.0127,-0.0254,0.0520,0.059
3.2630,-0.0338,-0.0177,-0.0049,0.038
3.2720,-0.0372,-0.0005,-0.0626,0.073
3.2810,-0.0651,0.0201,-0.0997,0.121
3.2910,-0.0307,0.0133,-0.0720,0.079
3.3010,0.0166,0.0208,-0.0563,0.062
3.3120,0.0334,-0.0108,-0.0693,0.078
3.3260,-0.0338,-0.0371,-0.0825,0.097
3.3310,-0.0776,-0.0446,-0.1306,0.158
3.3410,-0.0958,-0.0225,-0.1224,0.157
3.3510,-0.1050,-0.0185,-0.0688,0.127
3.3610,-0.0802,-0.0354,-0.0402,0.096
3.3730,-0.0442,-0.0195,0.0125,0.050
3.3810,0.0009,0.0007,0.0090,0.009
3.3930,-0.0392,-0.0048,-0.0567,0.069
3.4030,-0.0644,0.0049,-0.1066,0.125
3.4130,-0.0724,0.0088,-0.1351,0.154
3.4250,-0.0768,0.0064,-0.1530,0.171
3.4310,-0.0505,0.0123,-0.0837,0.099
