time,ax,ay,az,aT
2.5150,0.0586,-0.0650,-0.1177,0.147
2.5270,0.0412,-0.0873,0.0204,0.099
2.5350,0.0327,-0.0603,0.1565,0.171
2.5480,-0.0152,-0.0014,0.1368,0.138
2.5580,-0.0451,0.0854,-0.0191,0.098
2.5760,-0.0103,0.1405,-0.1906,0.237
2.5820,0.0156,0.1541,-0.2824,0.322
2.5910,0.0309,0.1045,-0.3386,0.356
2.5990,0.0093,0.0201,-0.2727,0.274
2.6070,0.0258,-0.0551,-0.1354,0.148
2.6150,-0.0046,-0.0942,-0.0372,0.101
2.6280,0.0127,-0.0498,0.0477,0.070
2.6350,0.0458,-0.0052,0.1379,0.145
2.6460,0.0678,0.0125,0.1656,0.179
2.6590,0.0297,0.0047,0.0956,0.100
2.6660,0.0312,-0.0025,0.0253,0.040
2.6760,0.0745,0.0351,0.0324,0.088
2.6860,0.1438,0.0874,0.1202,0.207
2.6960,0.1322,0.0805,0.1404,0.209
2.7090,0.0239,0.0047,-0.0278,0.037
2.7160,-0.0321,-0.0479,-0.1282,0.141
2.7290,-0.0714,-0.0827,-0.1479,0.184
2.7360,-0.0667,-0.0875,-0.0875,0.141
2.7480,-0.0328,-0.0755,-0.0071,0.083
2.7560,-0.0417,-0.1005,-0.0074,0.109
2.7710,-0.0266,-0.1049,-0.0232,0.111
2.7850,0.0296,-0.0920,-0.0507,0.109
2.7890,0.0349,-0.0574,-0.0713,0.098
2.7970,0.0282,-0.0053,-0.1198,0.123
2.8120,0.0128,0.0234,-0.2895,0.291
2.8170,-0.0004,0.0505,-0.4727,0.475
2.8290,-0.0193,0.0350,-0.5217,0.523
2.8360,-0.0036,-0.0130,-0.4540,0.454
2.8500,-0.0410,-0.0673,-0.4296,0.437
2.8660,0.0009,-0.1103,-0.3922,0.407
2.8750,0.0269,-0.1060,-0.3043,0.323
2.8860,-0.0293,-0.0577,-0.2207,0.230
2.8900,0.0057,0.0037,-0.0370,0.038
2.9100,0.0790,0.0745,0.1905,0.219
2.9110,0.0592,0.0667,0.2621,0.277
2.9170,0.0128,0.0164,0.1233,0.125
2.9270,0.0467,-0.0679,-0.0076,0.083
2.9360,0.0953,-0.0719,-0.1293,0.176
2.9470,0.1014,-0.0441,-0.1510,0.187
2.9560,0.0446,-0.0145,-0.2050,0.210
2.9670,0.0057,0.0214,-0.2459,0.247
2.9800,0.0009,0.0225,-0.2465,0.248
2.9870,0.0857,0.0608,0.0398,0.112
2.9980,0.1078,0.0165,0.0995,0.148
3.0120,0.0924,-0.0170,0.0720,0.118
3.0160,0.0447,-0.0147,0.0090,0.048
3.0290,0.0683,-0.0014,-0.0521,0.086
3.0360,0.0634,-0.0065,-0.1387,0.153
3.0480,0.0168,-0.0223,-0.1443,0.147
3.0560,0.0315,-0.0362,-0.1279,0.137
3.0690,0.0398,-0.0325,-0.1090,0.121
3.0830,0.0181,-0.0291,-0.0976,0.103
3.0870,0.0332,0.0042,-0.0531,0.063
3.0960,0.0901,0.0184,0.0487,0.104
3.1120,0.1295,0.0174,0.0583,0.143
3.1170,0.1714,-0.0092,0.0321,0.175
3.1300,0.1484,-0.0036,-0.0032,0.148
3.1360,0.1492,-0.0064,-0.0023,0.149
3.1470,-0.0326,0.0123,-0.0044,0.035
3.1560,-0.0557,0.0352,0.0548,0.086
3.1690,0.0074,0.0407,0.0422,0.059
3.1770,0.0197,0.0235,-0.0370,0.048
3.1860,0.0336,0.0106,-0.0699,0.078
3.1960,0.1068,0.0193,-0.0542,0.121
3.2110,0.1049,0.0301,-0.0775,0.134
3.2160,0.0724,0.0531,-0.1066,0.139
3.2280,0.0627,0.0494,-0.0936,0.123
3.2360,0.0278,0.0121,-0.0927,0.098
3.2470,0.0257,-0.0002,-0.0886,0.092
3.2560,0.1836,0.0585,-0.2190,0.292
3.2680,0.1263,0.0850,-0.3929,0.421
3.2840,-0.1489,0.0313,-0.4424,0.468
3.2890,-0.4462,0.0362,-0.4337,0.623
3.2990,-0.3932,0.0533,-0.4192,0.577
3.3090,-0.2140,0.0173,-0.3991,0.453
3.3170,-0.1622,-0.0946,-0.3192,0.370
3.3310,-0.0499,-0.2277,-0.2158,0.318
3.3360,0.0693,-0.2391,-0.2055,0.323
3.3490,0.1801,-0.3093,-0.2154,0.418
3.3560,0.1693,-0.3314,-0.1486,0.401
3.3670,0.0737,-0.2871,-0.0122,0.297
3.3770,0.0784,-0.2571,0.1329,0.300
3.3870,0.0190,-0.1090,0.2394,0.264
3.3960,0.0000,0.1278,0.3204,0.345
3.4060,-0.0341,0.2079,0.1994,0.290
3.4160,-0.0427,0.1672,0.0061,0.173
3.4290,0.0151,0.0735,-0.1853,0.200
3.4360,0.1117,-0.0610,-0.2832,0.310
3.4480,0.1274,-0.0933,-0.1616,0.226
3.4550,0.0995,-0.0518,0.0018,0.112
3.4690,0.0324,0.0569,0.0279,0.071
3.4800,-0.0441,0.1510,-0.0289,0.160
3.4860,-0.0346,0.1748,-0.1028,0.206
3.4960,-0.0832,0.1352,-0.2282,0.278
3.5070,-0.0420,0.0657,-0.2523,0.264
3.5160,0.0701,-0.0473,-0.2159,0.232
