time,ax,ay,az,aT
3.5030,0.0861,-0.0692,0.2796,0.301
3.5110,0.1295,-0.0924,0.3763,0.409
3.5290,0.0950,-0.0763,0.3615,0.382
3.5370,0.1137,-0.0980,0.1602,0.220
3.5440,0.1280,-0.0931,0.0298,0.161
3.5520,0.0913,-0.0720,-0.1720,0.208
3.5600,0.0632,-0.0290,-0.3304,0.338
3.5760,0.0173,-0.0356,-0.2844,0.287
3.5810,-0.0727,-0.0754,-0.2641,0.284
3.5900,-0.0895,-0.0814,-0.3188,0.341
3.5980,-0.0411,-0.0360,-0.2591,0.265
3.6100,-0.0279,0.0198,-0.1544,0.158
3.6210,-0.0749,0.0119,-0.0417,0.087
3.6300,-0.1324,-0.0192,0.1006,0.167
3.6430,-0.0723,-0.0107,0.1831,0.197
3.6560,-0.0057,0.0211,0.1713,0.173
3.6640,0.0042,0.0015,0.0810,0.081
3.6760,0.0085,-0.0484,-0.0469,0.068
3.6830,0.0293,-0.0790,-0.1335,0.158
3.7070,0.0379,-0.0635,-0.1516,0.169
3.7080,-0.0357,-0.0408,-0.0751,0.093
3.7120,-0.1036,-0.0426,0.0634,0.129
3.7200,-0.1523,0.0139,0.1368,0.205
3.7310,-0.0923,0.0667,0.1192,0.165
3.7430,-0.0212,0.0882,-0.0069,0.091
3.7640,-0.0136,0.0689,-0.0930,0.117
3.7740,-0.0150,0.0312,-0.0352,0.049
3.7760,0.0102,0.0087,0.0237,0.027
3.7950,0.0455,0.0054,0.0235,0.051
3.7950,0.1114,-0.0080,0.0063,0.112
3.8010,0.0885,0.0077,0.0751,0.116
3.8100,0.0273,0.0201,0.0718,0.079
3.8200,0.0008,0.0514,0.0744,0.090
3.8310,-0.0787,0.0533,0.1766,0.201
3.8420,-0.0982,0.0223,0.2527,0.272
3.8500,0.0379,0.0060,0.2947,0.297
3.8600,0.3454,0.0041,0.0560,0.350
3.8720,0.3221,-0.0456,-0.1495,0.358
3.8800,0.0002,-0.1613,-0.2354,0.285
3.8900,-0.0967,-0.1164,-0.2453,0.288
3.8990,-0.2611,0.0711,-0.1271,0.299
3.9120,-0.5454,0.2284,0.0084,0.591
3.9270,-0.7372,0.3458,0.0202,0.814
3.9310,-0.5482,0.3698,-0.1892,0.688
3.9490,-0.2366,0.2673,-0.4989,0.613
3.9540,0.0164,0.0926,-0.6846,0.691
3.9590,0.1986,-0.0591,-0.5972,0.632
3.9730,0.2117,-0.1368,-0.1952,0.319
3.9790,0.1428,-0.1947,0.1625,0.291
3.9900,0.0821,-0.2598,0.4607,0.535
3.9990,0.0996,-0.2535,0.7045,0.755
4.0110,0.1083,-0.2415,0.6811,0.731
4.0310,0.0690,-0.2149,0.5085,0.556
4.0330,0.0820,-0.1602,0.1798,0.254
4.0430,0.0627,-0.0282,-0.0526,0.087
4.0540,-0.0947,0.1033,-0.2096,0.252
4.0610,-0.1785,0.1246,-0.3662,0.426
4.0710,-0.0577,0.1417,-0.3293,0.363
4.0790,0.0035,0.1128,-0.1738,0.207
4.0910,0.0655,0.0871,0.0312,0.113
4.0990,0.1037,0.0981,0.1889,0.237
4.1100,0.0977,0.0787,0.3225,0.346
4.1210,0.0164,0.0370,0.4256,0.427
4.1300,0.0048,0.0096,0.4497,0.450
4.1410,0.0276,0.0367,0.3923,0.395
4.1510,0.0398,0.0461,0.1844,0.194
4.1600,0.0699,0.0411,0.0068,0.081
4.1740,0.0349,0.0139,-0.0640,0.074
4.1790,-0.0592,-0.0250,-0.1006,0.119
4.1910,-0.1037,-0.0310,-0.0839,0.137
4.1990,-0.1200,-0.0186,-0.0031,0.121
4.2110,-0.1932,-0.0336,0.0843,0.213
4.2210,-0.2183,-0.0277,0.1390,0.260
4.2300,-0.1556,0.0211,0.1028,0.188
4.2400,-0.0137,0.0270,0.0251,0.039
4.2500,0.0232,-0.0217,-0.0391,0.050
4.2600,0.0223,-0.0909,-0.0482,0.105
4.2730,0.0338,-0.0854,-0.0418,0.101
4.2800,0.0266,-0.0720,-0.0945,0.122
4.2920,0.0533,-0.0282,-0.0504,0.079
4.3030,-0.0223,-0.0100,-0.0869,0.090
4.3120,-0.0279,0.0379,-0.1191,0.128
4.3200,0.0274,0.0877,-0.1144,0.147
4.3300,0.0475,0.1232,-0.0236,0.134
4.3400,0.0974,0.1529,0.1156,0.215
4.3500,0.1630,0.1280,0.1038,0.232
4.3600,0.1168,0.0305,0.1441,0.188
4.3730,0.1109,-0.1231,0.1778,0.243
4.3800,0.0640,-0.1995,0.3258,0.387
4.3920,0.0346,-0.1780,0.4002,0.439
4.4010,0.0846,-0.1056,0.2430,0.278
4.4120,0.1333,-0.0491,0.0338,0.146
4.4230,0.1515,-0.0167,-0.1220,0.195
4.4350,0.1054,-0.0535,-0.1291,0.175
4.4430,0.0458,-0.0770,-0.0563,0.106
4.4500,-0.0106,-0.0636,-0.0513,0.082
4.4590,-0.0660,-0.0483,-0.0325,0.088
4.4720,-0.0675,-0.0260,-0.0382,0.082
4.4800,-0.0062,0.0101,0.0407,0.042
4.4900,0.0164,0.0157,0.1515,0.153
4.4990,-0.0366,0.0229,0.1952,0.200
4.5100,-0.0705,0.0199,0.1459,0.163
4.5310,-0.0587,0.0452,-0.0093,0.075
4.5420,-0.0262,0.0628,-0.1015,0.122
4.5430,-0.0014,0.0592,-0.1048,0.120
4.5510,-0.0400,0.0383,-0.0328,0.064
4.5610,-0.0417,0.0100,-0.0018,0.043
4.5720,-0.0185,-0.0174,0.0528,0.059
4.5790,-0.0169,-0.0301,0.0521,0.062
4.5910,-0.0192,-0.0177,0.0524,0.059
4.5990,0.0190,0.0215,0.0495,0.057
4.6110,-0.0048,-0.0010,0.0660,0.066
4.6230,-0.0709,0.0156,0.0853,0.112
4.6310,-0.0833,-0.0042,-0.0722,0.110
4.6450,-0.0549,-0.0258,-0.1023,0.119
4.6510,-0.0023,-0.0376,-0.0787,0.087
4.6620,0.0241,-0.0460,-0.0341,0.062
4.6740,0.0149,-0.0181,0.0338,0.041
4.6790,-0.0499,0.0159,0.0749,0.091
4.6900,-0.0696,0.0200,0.0727,0.103
4.7000,-0.0253,-0.0148,0.0661,0.072
4.7110,0.0004,-0.0760,0.0655,0.100
4.7210,0.0188,-0.0904,0.0949,0.132
4.7310,-0.0046,-0.0651,0.0717,0.097
4.7400,-0.0469,0.0113,-0.0027,0.048
4.7510,-0.1040,0.0655,-0.1007,0.159
4.7630,-0.1321,0.0859,-0.1468,0.215
4.7740,-0.0815,0.1152,-0.1545,0.209
4.7910,-0.0065,0.1196,-0.0690,0.138
4.7930,0.1534,0.0521,0.0589,0.172
4.8000,0.1877,0.0001,0.1520,0.242
4.8100,0.1522,-0.0382,0.2367,0.284
4.8230,0.1092,-0.0313,0.2714,0.294
4.8310,0.0605,-0.0079,0.2122,0.221
4.8400,0.0036,0.0185,0.0700,0.072
4.8520,-0.0075,0.0197,-0.0285,0.035
4.8590,0.0004,0.0431,0.0122,0.045
4.8710,0.0169,0.0248,0.0361,0.047
4.8800,0.0261,-0.0016,-0.0156,0.030
4.8910,-0.0027,-0.0065,-0.0300,0.031
4.9000,-0.0920,0.0049,0.0144,0.093
4.9120,-0.0995,0.0290,0.0685,0.124
4.9220,-0.0527,0.0508,0.0306,0.079
4.9330,-0.0829,0.0387,-0.0264,0.095
4.9440,-0.0576,0.0009,-0.0474,0.075
4.9500,0.0119,-0.0458,-0.0865,0.099
4.9680,0.0701,-0.1166,-0.1187,0.181
4.9750,0.1006,-0.1579,-0.1309,0.228
4.9800,0.0890,-0.1434,-0.0752,0.185
4.9900,0.0480,-0.0685,-0.0137,0.085
4.9990,0.0035,-0.0381,-0.0062,0.039
5.0100,-0.0014,-0.0191,-0.0511,0.055
5.0190,0.0365,0.0088,-0.1114,0.118
5.0390,0.0233,0.0436,-0.0758,0.091
5.0410,0.0080,0.0514,-0.0571,0.077
5.0500,-0.0167,0.0669,-0.0254,0.073
5.0610,-0.0531,0.0617,0.0036,0.081
5.0730,-0.0630,0.0343,0.0015,0.072
5.0800,-0.0405,-0.0118,0.0578,0.072
5.0910,0.0156,-0.0583,0.1233,0.137
5.0990,0.0355,-0.0575,0.1346,0.151
5.1100,0.0416,-0.0626,0.1054,0.129
5.1230,0.0040,-0.0917,0.0060,0.092
5.1300,-0.0205,-0.0564,-0.0557,0.082
5.1420,0.0538,-0.0033,-0.1149,0.127
